year,count,missing_rate,mean,median,std,min,max,p05,p25,p75,p95,p99,iqr,skewness,kurtosis,exceed_35_count,exceed_35_ratio,exceed_p90_count,exceed_p90_ratio,exceed_p95_count,exceed_p95_ratio
2019,8703,0.006506849315068493,7.991405262553142,6.5,5.32650185061356,0.7,51.6,2.7,4.35,10.1,17.7,28.25,5.75,2.1210779538315756,7.2600509176931975,37,0.0042514075606112835,932,0.10708950936458693,413,0.047454900608985405
2020,8651,0.015141165755919854,7.77351173274766,6.5,5.000991493758272,0.5,75.5,2.7,4.25,9.825000000000001,17.0,26.0,5.575000000000001,2.2087356921456287,10.085124431009458,17,0.001965090740954803,762,0.08808230262397411,368,0.04253843486302162
2021,8726,0.0038812785388127853,8.482775613110245,6.85,6.748410187460555,0.6,158.3,2.8,4.5,10.350000000000001,19.1375,31.1625,5.850000000000001,5.2899489531036314,61.04042785866022,55,0.006303002521201009,1003,0.11494384597753839,533,0.061081824432729775
2022,7742,0.11621004566210046,7.467170412468785,6.4,4.300695804427933,0.9,44.650000000000006,2.95,4.5,9.149999999999999,15.1,23.55,4.649999999999999,2.1490486201258268,7.954367317877033,12,0.0015499870834409714,487,0.06290364246964608,200,0.025833118057349523
2023,8676,0.009589041095890411,9.661662440448747,6.9,13.592127337073192,0.45,357.35,2.7,4.5,11.05,22.0125,51.974999999999994,6.550000000000001,11.147369576761546,183.08962412193833,151,0.01740433379437529,1251,0.1441908713692946,728,0.08390963577685569
2024,8629,0.017645719489981785,7.183503302816085,5.7,5.739474393914536,0.6,175.9,2.3,3.9,9.1,16.3,22.971999999999934,5.199999999999999,7.914395709897551,154.8882728416051,20,0.0023177656738903696,665,0.07706570865685479,301,0.03488237339205006
