MAE,RMSE,R2,N,horizon_h,model,improve_vs_persistence_mae_pct,improve_vs_daily_naive_mae_pct
0.9016523155690016,2.737974000797582,0.7726785161491317,8594,1,persistence,0.0,77.13276740745127
1.4181686900521204,3.6790256610255123,0.5863627735139787,7878,1,lgbm_small,-57.28553740331307,64.03315032754418
1.435743697518462,3.8237707617036842,0.5531747783035579,7878,1,ridge_lag,-59.234737462234975,63.58742221637641
1.4427147956732245,3.7705459113113524,0.5655273429508274,7878,1,rf_stable,-60.007884498447396,63.41062488532333
1.449732326671241,3.684457075092302,0.5851405513104893,7878,1,lgbm_medium,-60.78618128500729,63.232649948880336
1.4787286335733325,3.7429698482640807,0.5718591758987939,7878,1,lgbm_large,-64.00208905803763,62.497260838459646
2.6520132848833575,5.120981438388794,0.20435687959613202,8621,1,rolling_mean_24h,-194.1281510722638,32.74103157414235
3.658841270414162,5.873984201980849,-0.04753734056118675,8628,1,rolling_mean_168h,-305.7929211999188,7.206388865116605
3.942988343341575,7.332005809859148,-0.6195353330435229,8493,1,seasonal_naive_daily,-337.30696137050245,0.0
4.8880339863110684,8.225198916440295,-1.0331453029765791,8474,1,seasonal_naive_weekly,-442.1196066275723,-23.967751377337148
2.5029959040374488,6.12299978684481,-0.13668310548503437,8545,6,persistence,0.0,40.44914720745019
2.5819279554733026,5.194277835073942,0.17870101363765334,7833,6,rf_stable,-3.1535030204617085,38.57120926592642
2.609295510630329,5.278985181722254,0.1516954016357588,7833,6,lgbm_small,-4.246894947826886,37.92008504881556
2.6436423686858785,5.25250340615333,0.16018501276106345,7833,6,lgbm_medium,-5.619124842416262,37.10291044431328
2.646512732675249,5.529091205972818,0.0694098673479373,7833,6,ridge_lag,-5.733801977314498,37.03461923252332
2.7064732177861153,5.361594357058504,0.12493796507061206,7833,6,lgbm_large,-8.129350648175178,35.60804956996519
3.100537380510174,5.6453596343849295,0.03368704318178872,8611,6,rolling_mean_24h,-23.873050511543514,26.232542040229845
3.74228606062936,5.969876289814924,-0.08190937316171776,8623,6,rolling_mean_168h,-49.51227265665432,10.964166603440075
4.203123526638378,7.501105843352234,-0.6961270093690661,8484,6,seasonal_naive_daily,-67.92370773993454,0.0
4.837009919697685,8.118211018550205,-0.9792116880913186,8468,6,seasonal_naive_weekly,-93.24881482607955,-15.081317240425815
3.136407264565875,5.669297699619458,0.013815251895412772,7795,12,ridge_lag,1.7242768308797043,27.600135329857466
