iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,4.072517929500131,4.409083620692887,72,lgbm_medium,1,101
2,4.047991020045244,4.422860051818446,72,lgbm_medium,1,101
3,4.024165034893157,4.439081587263723,72,lgbm_medium,1,101
4,4.002961515387867,4.439547145288792,72,lgbm_medium,1,101
5,3.981638333152837,4.4622737758977244,72,lgbm_medium,1,101
6,3.9661047342669864,4.477491762921197,72,lgbm_medium,1,101
7,3.946774106409267,4.489274748788147,72,lgbm_medium,1,101
8,3.9279001106408193,4.498378390506029,72,lgbm_medium,1,101
9,3.9102270227369202,4.507155725602469,72,lgbm_medium,1,101
10,3.8898177113741386,4.513182005885255,72,lgbm_medium,1,101
11,3.870346313849797,4.521703103403268,72,lgbm_medium,1,101
12,3.8582841114003568,4.532329900801695,72,lgbm_medium,1,101
13,3.8436243900593214,4.538277503588277,72,lgbm_medium,1,101
14,3.82644142990366,4.5568261683965545,72,lgbm_medium,1,101
15,3.80850357499451,4.566212460920985,72,lgbm_medium,1,101
16,3.7942168910766814,4.581196975569131,72,lgbm_medium,1,101
17,3.7799974613280494,4.589153449485876,72,lgbm_medium,1,101
18,3.765991046672835,4.601235183708653,72,lgbm_medium,1,101
19,3.747964728842495,4.604195757830168,72,lgbm_medium,1,101
20,3.7355689447345144,4.622555182731154,72,lgbm_medium,1,101
21,3.720383770746537,4.639957042024236,72,lgbm_medium,1,101
22,3.707441683403946,4.6585577614552305,72,lgbm_medium,1,101
23,3.6946033462901435,4.671899337697861,72,lgbm_medium,1,101
24,3.6825143604792703,4.687345141068023,72,lgbm_medium,1,101
25,3.671955815132285,4.695426362452687,72,lgbm_medium,1,101
26,3.659566192479446,4.704009194736193,72,lgbm_medium,1,101
27,3.649564230211549,4.7119928511975235,72,lgbm_medium,1,101
28,3.6363475236361174,4.730214958685423,72,lgbm_medium,1,101
29,3.6253712531882707,4.738524251752728,72,lgbm_medium,1,101
30,3.6123724808675433,4.750685925150249,72,lgbm_medium,1,101
31,3.5992271531528908,4.766621851427287,72,lgbm_medium,1,101
32,3.587938993265328,4.772383029578918,72,lgbm_medium,1,101
33,3.5774005341225172,4.782003147009515,72,lgbm_medium,1,101
34,3.5663174883160584,4.789758014961709,72,lgbm_medium,1,101
35,3.5559092408665802,4.799840297308586,72,lgbm_medium,1,101
36,3.545836309253759,4.814584815453734,72,lgbm_medium,1,101
37,3.5377252190120396,4.8191657499383265,72,lgbm_medium,1,101
38,3.527217849515428,4.82436830232753,72,lgbm_medium,1,101
39,3.5177619053697584,4.831869433815578,72,lgbm_medium,1,101
40,3.506810925623949,4.829721153111719,72,lgbm_medium,1,101
41,3.496528229726317,4.8355641968533245,72,lgbm_medium,1,101
42,3.488472040267865,4.83707528012222,72,lgbm_medium,1,101
43,3.479724883158133,4.841550989733554,72,lgbm_medium,1,101
44,3.4715275756461854,4.84690920336652,72,lgbm_medium,1,101
45,3.462288726163889,4.848690606173297,72,lgbm_medium,1,101
46,3.4530808832532016,4.850971543072685,72,lgbm_medium,1,101
47,3.445601062791009,4.858518772962013,72,lgbm_medium,1,101
48,3.437686833990902,4.866815541858847,72,lgbm_medium,1,101
49,3.429943446121415,4.8708735938944745,72,lgbm_medium,1,101
50,3.423691436511087,4.8747517719696045,72,lgbm_medium,1,101
51,3.416806184453083,4.876390213559765,72,lgbm_medium,1,101
52,3.4092534338494778,4.881389033682906,72,lgbm_medium,1,101
