iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,4.00551918956343,4.497261562508318,12,lgbm_large,153,253
2,3.9743614658962363,4.468730367649445,12,lgbm_large,153,253
3,3.9438208338945646,4.441720548493853,12,lgbm_large,153,253
4,3.9144710274636942,4.417686487806199,12,lgbm_large,153,253
5,3.887021507787707,4.393867980831789,12,lgbm_large,153,253
6,3.8600861117984433,4.367954776752156,12,lgbm_large,153,253
7,3.8328389621949572,4.345662156012965,12,lgbm_large,153,253
8,3.8065227702864926,4.3235023927426015,12,lgbm_large,153,253
9,3.7820877675123854,4.304237116584343,12,lgbm_large,153,253
10,3.7571820621584244,4.282705744882106,12,lgbm_large,153,253
11,3.7337718034758485,4.26506897419283,12,lgbm_large,153,253
12,3.7096768794464356,4.24739411340284,12,lgbm_large,153,253
13,3.6855914987799956,4.225722606878695,12,lgbm_large,153,253
14,3.662300315613411,4.207759462479379,12,lgbm_large,153,253
15,3.639458010874509,4.190898159140105,12,lgbm_large,153,253
16,3.6165076751330507,4.174999212905044,12,lgbm_large,153,253
17,3.595927697119257,4.1593502978527,12,lgbm_large,153,253
18,3.574951452607745,4.14294133592266,12,lgbm_large,153,253
19,3.554024116497194,4.127260613321614,12,lgbm_large,153,253
20,3.5333522575664666,4.111922066173929,12,lgbm_large,153,253
21,3.5130393688709725,4.096865288821373,12,lgbm_large,153,253
22,3.4932950624731385,4.080366387264045,12,lgbm_large,153,253
23,3.4739952024943537,4.064961868160436,12,lgbm_large,153,253
24,3.455169515312453,4.049778322117325,12,lgbm_large,153,253
25,3.4374945429029906,4.039295926100619,12,lgbm_large,153,253
26,3.41994125159434,4.026516917625899,12,lgbm_large,153,253
27,3.402690180476558,4.0150838100720705,12,lgbm_large,153,253
28,3.385349906418284,4.00481843048152,12,lgbm_large,153,253
29,3.368070277333572,3.9904557248427643,12,lgbm_large,153,253
30,3.351479452955971,3.9794418879565367,12,lgbm_large,153,253
31,3.335311391079965,3.9682459750264836,12,lgbm_large,153,253
32,3.3198441430231367,3.958067750896818,12,lgbm_large,153,253
33,3.305318624946423,3.9464773907374586,12,lgbm_large,153,253
34,3.289884184241333,3.9379079060689137,12,lgbm_large,153,253
35,3.2749790963030505,3.9300688723141413,12,lgbm_large,153,253
36,3.260585949285065,3.9187918187679847,12,lgbm_large,153,253
