iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,4.074246971168924,4.402748523640685,72,lgbm_large,1,101
2,4.051375218520993,4.410488829729271,72,lgbm_large,1,101
3,4.028299548707911,4.419587290728185,72,lgbm_large,1,101
4,4.00723188706614,4.4203802826262955,72,lgbm_large,1,101
5,3.9862854076245693,4.435240338127305,72,lgbm_large,1,101
6,3.9696536520407038,4.446655025427432,72,lgbm_large,1,101
7,3.9492536777294185,4.459051267320177,72,lgbm_large,1,101
8,3.9297782190034805,4.465001589343958,72,lgbm_large,1,101
9,3.9117598335194077,4.469920812548267,72,lgbm_large,1,101
10,3.8923497150285793,4.475581960711563,72,lgbm_large,1,101
11,3.871070695454041,4.482824540072323,72,lgbm_large,1,101
12,3.8596663390853205,4.490283598077729,72,lgbm_large,1,101
13,3.8430009243645626,4.494672111500288,72,lgbm_large,1,101
14,3.824597953577654,4.503086885572043,72,lgbm_large,1,101
15,3.8049713446143345,4.5107992036467195,72,lgbm_large,1,101
16,3.787850922798262,4.5271539249172665,72,lgbm_large,1,101
17,3.7723863696617568,4.534373844489692,72,lgbm_large,1,101
18,3.7557533338010147,4.541692111609542,72,lgbm_large,1,101
19,3.7378092869842243,4.5476620075151075,72,lgbm_large,1,101
20,3.721686050763296,4.55975944945896,72,lgbm_large,1,101
21,3.7064385836115736,4.570742665345653,72,lgbm_large,1,101
22,3.6910755290981085,4.576680708975209,72,lgbm_large,1,101
23,3.6758740089416375,4.581732977070192,72,lgbm_large,1,101
24,3.6616041312747454,4.595212958397456,72,lgbm_large,1,101
25,3.6494479074600377,4.599384460262049,72,lgbm_large,1,101
26,3.6344742463342268,4.608728114184874,72,lgbm_large,1,101
27,3.622622393041736,4.617980638744166,72,lgbm_large,1,101
28,3.606458991198067,4.6234620089568494,72,lgbm_large,1,101
29,3.593346415240093,4.630550877960129,72,lgbm_large,1,101
30,3.5780322852143827,4.647692552543227,72,lgbm_large,1,101
31,3.5634525635306544,4.6634424288723455,72,lgbm_large,1,101
32,3.550750130749663,4.673219219508376,72,lgbm_large,1,101
33,3.537984734980591,4.67739371422113,72,lgbm_large,1,101
34,3.524516636934544,4.694780390504637,72,lgbm_large,1,101
35,3.5116364910465183,4.705248837187166,72,lgbm_large,1,101
36,3.4988912268424848,4.718477172930327,72,lgbm_large,1,101
37,3.4869166572588792,4.7209557806872695,72,lgbm_large,1,101
38,3.47430040292455,4.730558072358841,72,lgbm_large,1,101
39,3.462877190350969,4.73947845999096,72,lgbm_large,1,101
40,3.451659642418718,4.753395123613736,72,lgbm_large,1,101
41,3.4388583504979717,4.770070005628084,72,lgbm_large,1,101
42,3.4280282074887727,4.783245624406234,72,lgbm_large,1,101
43,3.416715856204243,4.785513960029734,72,lgbm_large,1,101
44,3.4045827774978337,4.796110903886015,72,lgbm_large,1,101
45,3.3931901043884265,4.808027224209745,72,lgbm_large,1,101
46,3.382616413524988,4.8098223806637455,72,lgbm_large,1,101
47,3.3720835852604973,4.815887163290552,72,lgbm_large,1,101
48,3.3607249014087306,4.823271153115112,72,lgbm_large,1,101
49,3.349367699635534,4.829229278486306,72,lgbm_large,1,101
50,3.34205989181804,4.836799343729649,72,lgbm_large,1,101
51,3.3320890674496737,4.842060863918132,72,lgbm_large,1,101
52,3.3220729162573037,4.844196116646662,72,lgbm_large,1,101
53,3.3139255724096888,4.84841274414438,72,lgbm_large,1,101
54,3.3025479292921993,4.855941237935962,72,lgbm_large,1,101
55,3.2907376326302153,4.857635183638741,72,lgbm_large,1,101
56,3.2801071422741304,4.863518412708041,72,lgbm_large,1,101
57,3.271257677795776,4.8708837430193705,72,lgbm_large,1,101
58,3.262580132387002,4.876927004251888,72,lgbm_large,1,101
59,3.2518917993913004,4.879590379453699,72,lgbm_large,1,101
60,3.2439206382127126,4.886411184270669,72,lgbm_large,1,101
61,3.2329662402355,4.886850133792526,72,lgbm_large,1,101
62,3.222360956771772,4.893846792053307,72,lgbm_large,1,101
63,3.2128419290049384,4.901042434377514,72,lgbm_large,1,101
64,3.203991330048275,4.902788086460557,72,lgbm_large,1,101
65,3.1935051490181157,4.907337240484795,72,lgbm_large,1,101
66,3.185112573199832,4.91260504200709,72,lgbm_large,1,101
67,3.174614787031315,4.914163570785343,72,lgbm_large,1,101
68,3.1658697192803844,4.923191565435141,72,lgbm_large,1,101
69,3.1571984001723883,4.928946982298493,72,lgbm_large,1,101
70,3.1470340919512703,4.930203514311429,72,lgbm_large,1,101
71,3.1374177385996345,4.932964670720427,72,lgbm_large,1,101
72,3.1311923457129303,4.935748332085504,72,lgbm_large,1,101
73,3.1238826646062168,4.939523724069401,72,lgbm_large,1,101
74,3.1160936943845075,4.943917883277933,72,lgbm_large,1,101
75,3.108706676697384,4.946314201890444,72,lgbm_large,1,101
76,3.100738084694718,4.949528694793741,72,lgbm_large,1,101
77,3.0936370739041004,4.94985782987749,72,lgbm_large,1,101
78,3.086663694956076,4.954020583094409,72,lgbm_large,1,101
79,3.0798589554858724,4.959069878146928,72,lgbm_large,1,101
80,3.073255175007872,4.961897982703516,72,lgbm_large,1,101
81,3.0644902892154597,4.967808701882571,72,lgbm_large,1,101
82,3.0585087211906874,4.97238153350094,72,lgbm_large,1,101
83,3.0505736823560037,4.973702455276701,72,lgbm_large,1,101
84,3.0447654953814975,4.9754683719991135,72,lgbm_large,1,101
85,3.0381883631671047,4.980080477215224,72,lgbm_large,1,101
86,3.0294357162711854,4.982201771405029,72,lgbm_large,1,101
87,3.023260043828052,4.983424160032,72,lgbm_large,1,101
88,3.017034446551024,4.986914938073489,72,lgbm_large,1,101
89,3.0110450082222435,4.987200924572298,72,lgbm_large,1,101
90,3.004231264626956,4.988668349422548,72,lgbm_large,1,101
91,2.998011923804209,4.9908829779403545,72,lgbm_large,1,101
92,2.9911606698084756,4.992696750371981,72,lgbm_large,1,101
93,2.982976862052799,4.990822781879655,72,lgbm_large,1,101
94,2.9769594479757346,4.99261361571088,72,lgbm_large,1,101
95,2.97115653521951,4.994552340091208,72,lgbm_large,1,101
96,2.9655488592147483,4.997575817565485,72,lgbm_large,1,101
97,2.957956863889236,4.999617625861228,72,lgbm_large,1,101
98,2.951978037582074,5.001208357089099,72,lgbm_large,1,101
99,2.9439295425169973,5.004602157048803,72,lgbm_large,1,101
100,2.9388328173799603,5.004663265655326,72,lgbm_large,1,101
101,2.932214842418948,5.005427121798987,72,lgbm_large,1,101
102,2.925210527325336,5.007947697690588,72,lgbm_large,1,101
103,2.9186927649599235,5.010727513027484,72,lgbm_large,1,101
104,2.9104169320164432,5.015070168271118,72,lgbm_large,1,101
105,2.9030456639446958,5.016128001488565,72,lgbm_large,1,101
106,2.895078921970123,5.0173488421424235,72,lgbm_large,1,101
107,2.8889305013146105,5.015878337125895,72,lgbm_large,1,101
108,2.8831685912783405,5.017281764461511,72,lgbm_large,1,101
109,2.878592160823959,5.017833844527083,72,lgbm_large,1,101
110,2.8706989128098668,5.018330164512811,72,lgbm_large,1,101
111,2.863793565341521,5.015792418721952,72,lgbm_large,1,101
112,2.856216574445557,5.014420129617676,72,lgbm_large,1,101
113,2.8487344357205924,5.0120153751987,72,lgbm_large,1,101
114,2.8417056196457966,5.011040695887025,72,lgbm_large,1,101
115,2.835242610358661,5.008304978441259,72,lgbm_large,1,101
116,2.8307847222251143,5.0084955589246105,72,lgbm_large,1,101
117,2.8243432373276476,5.009246150591203,72,lgbm_large,1,101
118,2.8202119066471383,5.009636781714719,72,lgbm_large,1,101
119,2.815522660678741,5.009123285531557,72,lgbm_large,1,101
120,2.810623436058316,5.007859474377601,72,lgbm_large,1,101
121,2.8032046403749487,5.007828627351984,72,lgbm_large,1,101
122,2.798541179154997,5.008411809519473,72,lgbm_large,1,101
123,2.7930091022395964,5.0093365415981035,72,lgbm_large,1,101
124,2.788762029839456,5.008263305056559,72,lgbm_large,1,101
125,2.7827492044399387,5.008668485507553,72,lgbm_large,1,101
126,2.7787900480424867,5.008971784575251,72,lgbm_large,1,101
127,2.77291882040679,5.008544050115059,72,lgbm_large,1,101
128,2.7667081361140116,5.009054126123461,72,lgbm_large,1,101
129,2.7609142360481034,5.009133788242799,72,lgbm_large,1,101
130,2.7541915463868425,5.0095534178672345,72,lgbm_large,1,101
131,2.749309216841501,5.010089304590982,72,lgbm_large,1,101
132,2.7457102663839157,5.011407166568073,72,lgbm_large,1,101
133,2.7389895827589124,5.012133771611188,72,lgbm_large,1,101
134,2.735230538755326,5.011469965221112,72,lgbm_large,1,101
135,2.7299647595685137,5.011567524081117,72,lgbm_large,1,101
136,2.7261419133057947,5.0124406246473265,72,lgbm_large,1,101
137,2.7216578146118513,5.0131756178468505,72,lgbm_large,1,101
138,2.717597817605677,5.0130543171913,72,lgbm_large,1,101
139,2.7112623412155243,5.013116547063547,72,lgbm_large,1,101
140,2.7075356317066577,5.0143840612379,72,lgbm_large,1,101
141,2.7008621361284617,5.014639055263105,72,lgbm_large,1,101
142,2.6956159071686314,5.014893128445843,72,lgbm_large,1,101
143,2.691643605721138,5.016021684737967,72,lgbm_large,1,101
144,2.687975524503349,5.015404065278409,72,lgbm_large,1,101
145,2.6832086901916856,5.015933637587197,72,lgbm_large,1,101
146,2.6779776998439275,5.016994579269226,72,lgbm_large,1,101
147,2.6739764261489087,5.017060258908096,72,lgbm_large,1,101
148,2.667654598126628,5.017266253796582,72,lgbm_large,1,101
149,2.6635314263490777,5.019150304384222,72,lgbm_large,1,101
150,2.659057025278831,5.020161596332491,72,lgbm_large,1,101
151,2.6533904313535266,5.019934445703929,72,lgbm_large,1,101
152,2.646810795608295,5.018869543993771,72,lgbm_large,1,101
153,2.6432789820167795,5.019069764570236,72,lgbm_large,1,101
154,2.6397071754591663,5.019680380906482,72,lgbm_large,1,101
155,2.6365545057699977,5.021425161334219,72,lgbm_large,1,101
156,2.632404814317829,5.022665017974216,72,lgbm_large,1,101
157,2.628411754822741,5.023371400057976,72,lgbm_large,1,101
158,2.6246506639841556,5.024601483864682,72,lgbm_large,1,101
159,2.6193007864473263,5.025092417356399,72,lgbm_large,1,101
160,2.6142279792905296,5.025925133159998,72,lgbm_large,1,101
161,2.610338328630195,5.027008731659567,72,lgbm_large,1,101
162,2.606940721498608,5.027240671860518,72,lgbm_large,1,101
163,2.602109542852534,5.026840435044637,72,lgbm_large,1,101
164,2.597859318329079,5.02570959252211,72,lgbm_large,1,101
165,2.594076204216808,5.025716205991373,72,lgbm_large,1,101
166,2.5887440804845356,5.025836477854487,72,lgbm_large,1,101
167,2.5837362965177944,5.025769924369333,72,lgbm_large,1,101
168,2.5801785573667857,5.025998282424152,72,lgbm_large,1,101
169,2.575202327589438,5.026659530638509,72,lgbm_large,1,101
170,2.570277257958005,5.027394212843941,72,lgbm_large,1,101
171,2.5665339512107423,5.027943132175309,72,lgbm_large,1,101
172,2.5632648428374916,5.028720098064299,72,lgbm_large,1,101
173,2.558673518772272,5.029598558205502,72,lgbm_large,1,101
174,2.55505966422009,5.031029301254535,72,lgbm_large,1,101
175,2.5504396379954204,5.030100837125419,72,lgbm_large,1,101
176,2.5473195938657343,5.02975058755081,72,lgbm_large,1,101
177,2.542164518669805,5.03014202067016,72,lgbm_large,1,101
178,2.5383909066708368,5.032551889297566,72,lgbm_large,1,101
179,2.535381479412509,5.032941449939038,72,lgbm_large,1,101
180,2.5306925017863473,5.033530122168228,72,lgbm_large,1,101
181,2.526053726685226,5.0324189936864885,72,lgbm_large,1,101
182,2.523655005032826,5.0331275809805245,72,lgbm_large,1,101
183,2.520341765743775,5.033878544939555,72,lgbm_large,1,101
184,2.514353057523065,5.034553118965955,72,lgbm_large,1,101
185,2.5089527969241487,5.0360616251478225,72,lgbm_large,1,101
186,2.5060191206715015,5.037337338781462,72,lgbm_large,1,101
187,2.5029838538885465,5.0383542207963306,72,lgbm_large,1,101
188,2.4997401773996417,5.038791762636136,72,lgbm_large,1,101
189,2.494427724857252,5.038960765328599,72,lgbm_large,1,101
190,2.491929303649723,5.0402672052737305,72,lgbm_large,1,101
191,2.4886634935005585,5.040734544126981,72,lgbm_large,1,101
192,2.4838525494311243,5.041658703587569,72,lgbm_large,1,101
193,2.4804888337070774,5.042121484558939,72,lgbm_large,1,101
194,2.4757848578614583,5.040959497983433,72,lgbm_large,1,101
195,2.4730577345195828,5.041961224369442,72,lgbm_large,1,101
196,2.4682678587698073,5.0419495569308435,72,lgbm_large,1,101
197,2.465139714481817,5.041606121915046,72,lgbm_large,1,101
198,2.4610430571827537,5.042345625786267,72,lgbm_large,1,101
199,2.455816734682409,5.04357084012157,72,lgbm_large,1,101
200,2.4525010078667595,5.044810067672874,72,lgbm_large,1,101
