model,horizon_h,year_month,MAE,RMSE,R2,N
lgbm_large,1,2024-01,1.3312413555231972,2.0264493727263666,0.8075222421276339,571
lgbm_large,1,2024-02,1.4692127221799587,2.382861259587551,0.8070076809978806,579
lgbm_large,1,2024-03,1.3633063335113693,2.4561992406382713,0.7679000760920043,631
lgbm_large,1,2024-04,1.3821642280720237,2.2945141949491052,0.6602902524495926,652
lgbm_large,1,2024-05,1.3954237835673498,2.251581096378768,0.6789781432693087,656
lgbm_large,1,2024-06,1.1526225527473823,1.6728725935834248,0.7949109835505306,710
lgbm_large,1,2024-07,1.8069301774479878,4.164233627766286,0.5640967414063804,734
lgbm_large,1,2024-08,1.3752177287348208,2.165771427706718,0.8273138998801254,734
lgbm_large,1,2024-09,0.7679309963109039,1.101183170469484,0.7497570456764919,694
lgbm_large,1,2024-10,1.3014091427482855,2.3000831451604813,0.7664639267736987,664
lgbm_large,1,2024-11,3.142213191222008,10.486203469817085,0.26172228542860043,625
lgbm_large,1,2024-12,1.34836658861266,2.161576049572094,0.7267394283130284,628
lgbm_large,6,2024-01,2.5721065184039835,3.3848550418421484,0.47003664745357254,566
lgbm_large,6,2024-02,2.851391775776293,4.195219581486747,0.3929711950885798,573
lgbm_large,6,2024-03,2.658917655584731,3.9490548276716044,0.3436944239346099,626
lgbm_large,6,2024-04,2.3704678002683512,3.280678888398389,0.3388834656486214,647
lgbm_large,6,2024-05,2.346400776223998,3.435823820764281,0.23642220072514142,651
lgbm_large,6,2024-06,2.1761957810543664,2.933505919285713,0.37711638750936227,710
lgbm_large,6,2024-07,3.3829331803007787,5.996286293538962,0.091602808201384,734
lgbm_large,6,2024-08,2.6901903245259575,3.7792976614036116,0.4753535444188026,734
lgbm_large,6,2024-09,1.4872779001277567,1.9929066449976034,0.17711878761682365,694
lgbm_large,6,2024-10,2.351967228610576,3.5218697552946794,0.39180909778862605,660
lgbm_large,6,2024-11,5.100226158359067,14.02158288660158,-0.2744074776890071,620
lgbm_large,6,2024-12,2.645763437936886,3.6801013282462973,0.21422095398062857,618
lgbm_large,12,2024-01,3.361341312116436,4.20172529895151,0.2317977448671933,560
lgbm_large,12,2024-02,3.936112926331587,5.223729430079882,-0.009119657030477901,567
lgbm_large,12,2024-03,3.1559159091887303,4.5568786861331265,0.08857271487899687,620
lgbm_large,12,2024-04,2.9134850999563335,3.8270190727047666,0.18155496264857052,646
lgbm_large,12,2024-05,2.7312013520616083,3.739405057304936,0.015957935553097324,645
lgbm_large,12,2024-06,2.5994062048318356,3.3094455556825215,0.21962261843690345,710
lgbm_large,12,2024-07,4.132165590589642,7.012350486291609,-0.25085260158299905,734
lgbm_large,12,2024-08,3.5000598919478696,4.670313026403287,0.19635590575377226,734
lgbm_large,12,2024-09,1.6770770523688296,2.268240911787469,-0.035127476649531975,694
lgbm_large,12,2024-10,2.8884174358847288,4.013298396590287,0.29542822799108737,660
lgbm_large,12,2024-11,5.282582442613813,13.71125328153765,-0.2631033312218667,619
lgbm_large,12,2024-12,2.930208517069266,3.91494269509653,0.09408511018552457,606
lgbm_large,24,2024-01,4.276202385075896,5.2727093885644365,-0.16793862295659667,548
lgbm_large,24,2024-02,4.253065124312999,5.3272115752465234,-0.11475422509031086,568
lgbm_large,24,2024-03,4.084063902219426,5.53444683414427,-0.20064100141666485,615
lgbm_large,24,2024-04,3.568111637064498,4.485171464038129,-0.10770732826017149,645
lgbm_large,24,2024-05,2.8086139309739346,3.69678702803021,0.00235461268330861,644
lgbm_large,24,2024-06,3.0409970013572054,3.6810317687960894,0.05109381688757342,710
lgbm_large,24,2024-07,4.428091454675134,6.839125795609562,-0.18047022898291076,734
lgbm_large,24,2024-08,4.110776858230757,5.350157702932661,-0.09681390391594125,734
lgbm_large,24,2024-09,1.8233659118080934,2.1965740934168503,-0.044061276554572704,694
lgbm_large,24,2024-10,3.451564892729803,4.762364012197774,0.10248694690836813,661
lgbm_large,24,2024-11,6.237935049141059,12.768936198665012,-0.1623138129600401,617
lgbm_large,24,2024-12,3.6966152584139653,4.556664340529413,-0.19789953720342846,593
lgbm_large,48,2024-01,4.553588113822258,5.437847044105435,-0.2674906603904763,528
lgbm_large,48,2024-02,5.084061077811405,6.214027837949289,-0.39080556133819266,561
lgbm_large,48,2024-03,4.23360604597274,5.5037878409554075,-0.13328134915807022,632
lgbm_large,48,2024-04,4.0641906334393605,4.934319491913276,-0.33107352310140015,645
lgbm_large,48,2024-05,3.559955406734251,4.627334726836682,-0.7264567761722653,644
lgbm_large,48,2024-06,3.773107505759224,4.409934694415745,-0.34737373210768885,710
lgbm_large,48,2024-07,4.298226428133395,6.606588395762936,-0.08864806032002592,734
