iter,train_l1,valid_l1,horizon_h,model,best_iter_from_curve,forced_stop_iter
1,4.0324080546472425,4.431818608024187,24,lgbm_medium,47,147
2,4.003894896926147,4.410973537480497,24,lgbm_medium,47,147
3,3.976646787969175,4.393686640713282,24,lgbm_medium,47,147
4,3.9502754136105933,4.3820890866586915,24,lgbm_medium,47,147
5,3.9256963762430996,4.366751671912131,24,lgbm_medium,47,147
6,3.9047576531908947,4.3625111025356835,24,lgbm_medium,47,147
7,3.8819826402006044,4.354194998430559,24,lgbm_medium,47,147
8,3.8616717221413004,4.341763686817417,24,lgbm_medium,47,147
9,3.841028856658862,4.33762678301416,24,lgbm_medium,47,147
10,3.82208595065894,4.326502818181194,24,lgbm_medium,47,147
11,3.8044197087427776,4.320353141803245,24,lgbm_medium,47,147
12,3.7875728136263307,4.316613845867071,24,lgbm_medium,47,147
13,3.771148789106584,4.304297055009846,24,lgbm_medium,47,147
14,3.754026229593758,4.295033125123609,24,lgbm_medium,47,147
15,3.737954514434778,4.289499398810434,24,lgbm_medium,47,147
16,3.7216411518547328,4.286194871838511,24,lgbm_medium,47,147
17,3.706999599621899,4.287445053534825,24,lgbm_medium,47,147
18,3.691771475897576,4.278026229114049,24,lgbm_medium,47,147
19,3.6774138522003814,4.27524363668136,24,lgbm_medium,47,147
20,3.6634608314571957,4.272998715352259,24,lgbm_medium,47,147
21,3.650379945496751,4.274407850959285,24,lgbm_medium,47,147
22,3.637196390850767,4.277402781557016,24,lgbm_medium,47,147
23,3.6235836127669394,4.274202765227431,24,lgbm_medium,47,147
24,3.611607760653244,4.276228341862591,24,lgbm_medium,47,147
25,3.599060284992031,4.273339613328211,24,lgbm_medium,47,147
26,3.5870350397160435,4.273294258072415,24,lgbm_medium,47,147
27,3.5747237008618264,4.2715283867569,24,lgbm_medium,47,147
28,3.563391924942452,4.2711293934784615,24,lgbm_medium,47,147
29,3.5519493160738382,4.271513377656126,24,lgbm_medium,47,147
30,3.5405740404740285,4.26714848004088,24,lgbm_medium,47,147
31,3.529980601428195,4.264625351949634,24,lgbm_medium,47,147
32,3.517097662704402,4.263050377747091,24,lgbm_medium,47,147
33,3.504215424031402,4.261170359694889,24,lgbm_medium,47,147
34,3.4935314493739256,4.259367773787359,24,lgbm_medium,47,147
35,3.483460653525495,4.25615070043174,24,lgbm_medium,47,147
36,3.4736779060629717,4.253078356081591,24,lgbm_medium,47,147
37,3.4640998903100026,4.253147469027012,24,lgbm_medium,47,147
38,3.453246124207272,4.252429156208509,24,lgbm_medium,47,147
39,3.4436423652134165,4.250028196477445,24,lgbm_medium,47,147
40,3.4343513819588796,4.247315605858302,24,lgbm_medium,47,147
41,3.425552977703457,4.243238960005618,24,lgbm_medium,47,147
42,3.4162733952090076,4.244388639737837,24,lgbm_medium,47,147
43,3.40655825579189,4.243088148846722,24,lgbm_medium,47,147
44,3.398932759180512,4.242666893697729,24,lgbm_medium,47,147
45,3.3894077047470272,4.243236980854843,24,lgbm_medium,47,147
46,3.381483259206538,4.243052097795975,24,lgbm_medium,47,147
47,3.3725119847925438,4.242603869876785,24,lgbm_medium,47,147
48,3.3636604885088146,4.247709962965353,24,lgbm_medium,47,147
49,3.3558719772353776,4.247054348320257,24,lgbm_medium,47,147
50,3.349199847404597,4.2480128974705345,24,lgbm_medium,47,147
51,3.3404940668802983,4.251435677003801,24,lgbm_medium,47,147
52,3.3334882401042143,4.258005757296736,24,lgbm_medium,47,147
53,3.3275937414100754,4.258206894831461,24,lgbm_medium,47,147
54,3.3200060163882634,4.258967054456733,24,lgbm_medium,47,147
55,3.3122476115466757,4.259902341141365,24,lgbm_medium,47,147
56,3.304683628163576,4.259077486123849,24,lgbm_medium,47,147
57,3.2977451957732486,4.255509674727475,24,lgbm_medium,47,147
58,3.2917915689399218,4.255344885941712,24,lgbm_medium,47,147
59,3.2849672508935615,4.258321571249423,24,lgbm_medium,47,147
60,3.279428917869384,4.258225074314836,24,lgbm_medium,47,147
61,3.273322403989971,4.25690193446286,24,lgbm_medium,47,147
62,3.2665381960140327,4.256370319647286,24,lgbm_medium,47,147
63,3.2596468518610866,4.253770949792447,24,lgbm_medium,47,147
64,3.2528141890188054,4.2590693600882865,24,lgbm_medium,47,147
65,3.246707122238324,4.2631140284691345,24,lgbm_medium,47,147
66,3.240356802998131,4.266653512807137,24,lgbm_medium,47,147
67,3.233103498052891,4.268813870015256,24,lgbm_medium,47,147
68,3.22652681497016,4.269709833893607,24,lgbm_medium,47,147
69,3.2203376432744144,4.266100197117913,24,lgbm_medium,47,147
70,3.215218967959263,4.264762024690462,24,lgbm_medium,47,147
71,3.2090580865349865,4.262621049335694,24,lgbm_medium,47,147
72,3.204479297503352,4.265890835511182,24,lgbm_medium,47,147
73,3.1977835349695525,4.268896359101761,24,lgbm_medium,47,147
74,3.191394027341446,4.271817538949188,24,lgbm_medium,47,147
75,3.1870602719566405,4.274356192193574,24,lgbm_medium,47,147
76,3.1819999378513195,4.271925193151609,24,lgbm_medium,47,147
77,3.176793031332338,4.269673662404229,24,lgbm_medium,47,147
78,3.169748744760681,4.275181352219545,24,lgbm_medium,47,147
79,3.165033902289753,4.277374792090325,24,lgbm_medium,47,147
80,3.159597448386205,4.27525566093019,24,lgbm_medium,47,147
81,3.1548988193273924,4.278426557812899,24,lgbm_medium,47,147
82,3.148334680259225,4.285063366877568,24,lgbm_medium,47,147
83,3.1427412186721266,4.287862439706598,24,lgbm_medium,47,147
84,3.137773331304589,4.285840443505416,24,lgbm_medium,47,147
85,3.13180976744127,4.285999949513547,24,lgbm_medium,47,147
86,3.1254327384748284,4.292333686153867,24,lgbm_medium,47,147
87,3.1213314930823888,4.29326213716221,24,lgbm_medium,47,147
88,3.114814092316287,4.290488744579281,24,lgbm_medium,47,147
89,3.1091915333912996,4.292308399498295,24,lgbm_medium,47,147
90,3.1025298353178346,4.29459738452828,24,lgbm_medium,47,147
91,3.09625616247749,4.297945445473712,24,lgbm_medium,47,147
92,3.092075818603612,4.296702216530513,24,lgbm_medium,47,147
93,3.0857762697661273,4.296224566648408,24,lgbm_medium,47,147
94,3.079678511184798,4.295587365122637,24,lgbm_medium,47,147
95,3.073773239563732,4.293911384285152,24,lgbm_medium,47,147
96,3.070410304851917,4.295070449073594,24,lgbm_medium,47,147
97,3.065831002444518,4.295920935557951,24,lgbm_medium,47,147
98,3.060327720862513,4.293133365712263,24,lgbm_medium,47,147
99,3.0558332525239416,4.293865049740666,24,lgbm_medium,47,147
100,3.051704647570088,4.293892298466169,24,lgbm_medium,47,147
101,3.0478832289050994,4.2948470649653885,24,lgbm_medium,47,147
102,3.0424002071329053,4.294048220282512,24,lgbm_medium,47,147
103,3.038867066285244,4.295724806910272,24,lgbm_medium,47,147
104,3.033198284624155,4.301565665465071,24,lgbm_medium,47,147
105,3.028847876943855,4.300507146626165,24,lgbm_medium,47,147
106,3.0253794875779323,4.301780328563799,24,lgbm_medium,47,147
107,3.0214743784789153,4.302134022682013,24,lgbm_medium,47,147
108,3.0161114107715594,4.302837326267551,24,lgbm_medium,47,147
109,3.012353697055641,4.305050395481191,24,lgbm_medium,47,147
110,3.0086953221717248,4.305026887619826,24,lgbm_medium,47,147
111,3.005236974827082,4.3037673650291906,24,lgbm_medium,47,147
112,2.999420604084798,4.306082807419693,24,lgbm_medium,47,147
113,2.9954968910893425,4.307848850441086,24,lgbm_medium,47,147
114,2.9900436767864678,4.309726800165862,24,lgbm_medium,47,147
115,2.9846138469964307,4.310718122121168,24,lgbm_medium,47,147
116,2.982176581825373,4.311174703265581,24,lgbm_medium,47,147
117,2.978116045944634,4.310145537585648,24,lgbm_medium,47,147
118,2.9750425374851712,4.309830967019253,24,lgbm_medium,47,147
119,2.97127327342066,4.311548586155896,24,lgbm_medium,47,147
120,2.9642159227088216,4.315087279562409,24,lgbm_medium,47,147
121,2.9585623661442475,4.312914062098212,24,lgbm_medium,47,147
122,2.954976937057516,4.313436326761746,24,lgbm_medium,47,147
123,2.9524973556907357,4.314901272046574,24,lgbm_medium,47,147
124,2.948988856278468,4.317545778459867,24,lgbm_medium,47,147
125,2.9447288724411074,4.317829886716126,24,lgbm_medium,47,147
126,2.9419063858853023,4.318610740377666,24,lgbm_medium,47,147
127,2.9378708301148873,4.319989646101679,24,lgbm_medium,47,147
128,2.9324837040320633,4.320729188723601,24,lgbm_medium,47,147
129,2.9291035547817597,4.319008922323948,24,lgbm_medium,47,147
130,2.9259102714406504,4.3194508622280745,24,lgbm_medium,47,147
131,2.9226326209706746,4.32173486243481,24,lgbm_medium,47,147
132,2.9169408136989188,4.321175955434271,24,lgbm_medium,47,147
133,2.913475668077523,4.321740911974281,24,lgbm_medium,47,147
134,2.910159906525291,4.320774435347181,24,lgbm_medium,47,147
135,2.9067603368126673,4.320676323726809,24,lgbm_medium,47,147
136,2.9016804906593694,4.321580741775933,24,lgbm_medium,47,147
137,2.8986822523536415,4.322996359645699,24,lgbm_medium,47,147
138,2.8956127693899703,4.32256932854542,24,lgbm_medium,47,147
139,2.891252678004687,4.322597828249017,24,lgbm_medium,47,147
140,2.8874705069035294,4.324965370428987,24,lgbm_medium,47,147
