year,wasserstein,ks_statistic,ks_pvalue,psi,mean_shift,variance_ratio,q50_shift,q95_shift
2019,0.11831355856554254,0.011476710788350108,0.4268221541668633,0.0017244875693335974,0.10862031383814852,1.0623024988022909,0.0,0.34999999999999787
2020,0.1190247254879126,0.011545695756676744,0.42174863100330506,0.0018196922821201462,-0.10927321596733375,0.9364314052508134,0.0,-0.3500000000000014
2021,0.6005436880900079,0.040298629995215496,1.2500817171121644e-08,0.01108475280909542,0.5999906643952517,1.705167768197974,0.34999999999999964,1.7874999999999979
2022,0.5994402931103708,0.04986673034687561,5.205865042782314e-12,0.03723646960382819,-0.4156145362462089,0.6925247418951058,-0.09999999999999964,-2.2500000000000018
2023,1.783263199156857,0.05280941496873626,1.8479633961252727e-14,0.02532508297024499,1.7788774917337538,6.917334102775563,0.40000000000000036,4.662499999999998
2024,0.8429843544272643,0.08957055130328379,1.108421245344031e-40,0.048649472503829574,-0.6992816458989086,1.2334111095950162,-0.7999999999999998,-1.0500000000000007
